Date,Home Team,Away Team,Home Score,Away Score,Playoff Game?,Home Odds Open,Away Odds Open,Home Line Open,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,,
2021-01-03,KC,LAC,21,38,,2.65,1.54,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,LAR,ARI,18,7,,1.83,2.00,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,SF,SEA,23,26,,2.70,1.50,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,BUF,MIA,56,26,,1.57,2.55,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CAR,NO,7,33,,3.30,1.35,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CIN,BAL,3,38,,6.00,1.14,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CLE,PIT,24,22,,1.33,3.40,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,DET,MIN,35,37,,3.25,1.36,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,HOU,TEN,38,41,,4.10,1.25,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,IND,JAX,28,14,,1.09,8.00,-13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,NE,NYJ,28,14,,1.57,2.55,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,NYG,DAL,23,19,,2.25,1.68,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,TB,ATL,44,27,,1.33,3.40,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,NE,BUF,9,38,,3.40,1.33,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,GB,TEN,40,14,,1.50,2.70,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,DAL,PHI,37,17,,2.00,1.83,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,LAC,DEN,19,16,,1.55,2.60,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,SEA,LAR,20,9,,1.74,2.15,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,BAL,NYG,27,13,,1.16,5.50,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,HOU,CIN,31,37,,1.23,4.25,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,JAX,CHI,17,41,,3.70,1.29,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,KC,ATL,17,14,,1.22,4.50,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,NYJ,CLE,23,16,,4.75,1.20,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,PIT,IND,28,24,,1.71,2.20,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,WAS,CAR,13,20,,1.76,2.10,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,LAS,MIA,25,26,,2.20,1.71,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,ARI,SF,12,20,,1.47,2.75,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,DET,TB,7,47,,3.80,1.27,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,NO,MIN,52,33,,1.31,3.60,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-21,CIN,PIT,27,17,,8.00,1.09,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,NYG,CLE,6,20,,2.65,1.54,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,NO,KC,29,32,,2.75,1.47,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,ARI,PHI,33,26,,1.40,3.05,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,LAR,NYJ,20,23,,1.06,10.00,-16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,ATL,TB,27,31,,2.85,1.44,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,BAL,JAX,40,14,,1.09,8.00,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,DAL,SF,41,33,,2.05,1.80,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,IND,HOU,27,20,,1.30,3.65,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,MIA,NE,22,12,,1.74,2.15,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,MIN,CHI,27,33,,1.54,2.65,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,TEN,DET,46,25,,1.16,5.50,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,WAS,SEA,15,20,,3.00,1.41,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,GB,CAR,24,16,,1.25,4.20,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,DEN,BUF,19,48,,2.85,1.44,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17,LAS,LAC,27,30,,1.60,2.45,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14,CLE,BAL,42,47,,1.95,1.86,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,BUF,PIT,26,15,,2.05,1.80,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,LAC,ATL,20,17,,2.20,1.71,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,PHI,NO,24,21,,3.60,1.31,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,SF,WAS,15,23,,1.45,2.80,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,LAS,IND,27,44,,2.25,1.68,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,SEA,NYJ,40,3,,1.15,5.75,-13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,CAR,DEN,27,32,,1.52,2.67,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,CHI,HOU,36,7,,2.10,1.76,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,CIN,DAL,7,30,,2.65,1.54,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,DET,GB,24,31,,4.25,1.23,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,JAX,TEN,10,31,,3.75,1.28,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,MIA,KC,27,33,,3.90,1.27,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,NYG,ARI,7,26,,2.20,1.71,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,TB,MIN,26,14,,1.35,3.30,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-10,LAR,NE,24,3,,1.37,3.20,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-08,BAL,DAL,34,17,,1.27,3.80,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07,SF,BUF,24,34,,2.35,1.64,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07,PIT,WAS,17,23,,1.22,4.50,-8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,KC,DEN,22,16,,1.12,6.50,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,GB,PHI,30,16,,1.23,4.25,-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,LAC,NE,0,45,,1.80,2.05,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,ARI,LAR,28,38,,2.10,1.76,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,SEA,NYG,12,17,,1.19,5.00,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,ATL,NO,16,21,,2.67,1.52,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,CHI,DET,30,34,,1.58,2.50,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,HOU,IND,20,26,,2.35,1.64,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,MIA,CIN,19,7,,1.19,5.00,-11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,MIN,JAX,27,24,,1.23,4.25,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,NYJ,LAS,28,31,,3.90,1.27,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,TEN,CLE,35,41,,1.45,2.80,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02,PIT,BAL,19,14,,1.57,2.55,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30,PHI,SEA,17,23,,3.10,1.40,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,GB,CHI,41,25,,1.23,4.25,-8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,TB,KC,24,27,,2.67,1.52,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,DEN,NO,3,31,,3.15,1.38,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,LAR,SF,20,23,,1.31,3.60,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,ATL,LAS,43,6,,2.40,1.62,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,BUF,LAC,27,17,,1.40,3.05,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,CIN,NYG,17,19,,2.95,1.42,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,IND,TEN,26,45,,1.50,2.70,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,JAX,CLE,25,27,,3.30,1.35,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,MIN,CAR,28,27,,1.44,2.85,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,NE,ARI,20,17,,2.20,1.71,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,NYJ,MIA,3,20,,3.45,1.32,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-26,DAL,WAS,16,41,,1.66,2.30,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-26,DET,HOU,25,41,,2.10,1.76,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-23,TB,LAR,24,27,,1.55,2.60,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,LAS,KC,31,35,,3.65,1.30,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,IND,GB,34,31,,1.80,2.05,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,MIN,DAL,28,31,,1.28,3.75,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,DEN,MIA,20,13,,2.30,1.66,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,LAC,NYJ,34,28,,1.25,4.20,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,BAL,TEN,24,30,,1.34,3.35,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,CAR,DET,20,0,,2.05,1.80,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,CLE,PHI,22,17,,1.54,2.65,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,HOU,NE,27,20,,2.20,1.71,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,JAX,PIT,3,27,,4.50,1.22,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,NO,ATL,24,9,,1.43,2.90,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,WAS,CIN,20,9,,1.83,2.00,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,SEA,ARI,28,21,,1.52,2.67,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-16,CHI,MIN,13,19,,2.25,1.68,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,NE,BAL,23,17,,3.55,1.31,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,LAR,SEA,23,16,,1.83,2.00,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,NO,SF,27,13,,1.23,4.25,-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,ARI,BUF,32,30,,1.80,2.05,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,LAS,DEN,37,12,,1.45,2.80,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,MIA,LAC,29,21,,1.71,2.20,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,CAR,TB,23,46,,3.15,1.38,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,CLE,HOU,10,7,,1.66,2.30,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,DET,WAS,30,27,,1.57,2.55,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,GB,JAX,24,20,,1.10,7.25,-13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,NYG,PHI,27,17,,2.40,1.62,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,PIT,CIN,36,10,,1.25,4.20,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,TEN,IND,17,34,,1.74,2.15,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-09,NYJ,NE,27,30,,3.70,1.29,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,TB,NO,3,38,,1.41,3.00,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,ARI,MIA,31,34,,1.47,2.75,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,DAL,PIT,19,24,,6.50,1.12,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,LAC,LAS,26,31,,1.83,2.00,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,ATL,DEN,34,27,,1.50,2.70,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,BUF,SEA,44,34,,2.30,1.66,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,IND,BAL,10,24,,2.20,1.71,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,JAX,HOU,25,27,,3.45,1.32,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,KC,CAR,33,31,,1.18,5.25,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,MIN,DET,34,20,,1.50,2.70,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,TEN,CHI,24,17,,1.40,3.05,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,WAS,NYG,20,23,,1.60,2.45,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-05,SF,GB,17,34,,3.05,1.40,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-02,NYG,TB,23,25,,4.75,1.20,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,PHI,DAL,23,9,,1.26,4.00,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,CHI,NO,23,26,,2.75,1.47,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,SEA,SF,37,27,,1.58,2.50,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,DEN,LAC,31,30,,2.05,1.80,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,BAL,PIT,24,28,,1.42,2.95,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,BUF,NE,24,21,,1.45,2.80,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,CIN,TEN,31,20,,2.90,1.43,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,CLE,LAS,6,16,,1.58,2.50,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,DET,IND,21,41,,2.30,1.66,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,GB,MIN,22,28,,1.32,3.45,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,KC,NYJ,35,9,,1.04,13.00,-20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,MIA,LAR,28,17,,2.75,1.47,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,CAR,ATL,17,25,,1.64,2.35,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-26,LAR,CHI,24,10,,1.38,3.15,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,LAS,TB,20,45,,2.35,1.64,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,LAC,JAX,39,29,,1.25,4.10,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,DEN,KC,16,43,,4.50,1.22,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,NE,SF,6,33,,1.71,2.20,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,ARI,SEA,37,34,,2.55,1.57,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,ATL,DET,22,23,,1.62,2.40,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,CIN,CLE,34,37,,2.60,1.55,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,HOU,GB,20,35,,2.50,1.58,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,NO,CAR,27,24,,1.29,3.70,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,TEN,PIT,24,27,,2.10,1.76,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,NYJ,BUF,10,18,,5.75,1.15,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,WAS,DAL,25,3,,1.90,1.90,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,PHI,NYG,22,21,,1.40,3.10,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-19,DAL,ARI,10,38,,2.20,1.71,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-19,BUF,KC,17,26,,2.70,1.50,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,SF,LAR,24,16,,2.40,1.62,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,TB,GB,38,10,,2.05,1.80,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,MIA,NYJ,24,0,,1.27,3.90,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,CAR,CHI,16,23,,1.66,2.30,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,IND,CIN,31,27,,1.25,4.10,-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,JAX,DET,16,34,,2.55,1.57,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,MIN,ATL,23,40,,1.52,2.67,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,NE,DEN,12,18,,1.22,4.50,-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,NYG,WAS,20,19,,1.52,2.67,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,PHI,BAL,28,30,,3.90,1.27,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,PIT,CLE,38,7,,1.45,2.80,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,TEN,HOU,42,36,,1.54,2.65,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
